1A,1B,1D,1E,1G,1I,1K,1L,qualified_thirds
3E,3J,3B,3C,3H,3F,3L,3K,BCEFHJKL
3E,3I,3B,3C,3H,3F,3L,3K,BCEFHIKL
3E,3J,3B,3C,3H,3F,3L,3I,BCEFHIJL
3E,3J,3B,3C,3H,3F,3I,3K,BCEFHIJK
3E,3G,3B,3C,3J,3F,3L,3K,BCEFGJKL
3E,3G,3B,3C,3I,3F,3L,3K,BCEFGIKL
3E,3G,3B,3C,3J,3F,3L,3I,BCEFGIJL
3E,3G,3B,3C,3J,3F,3I,3K,BCEFGIJK
3E,3G,3B,3C,3H,3F,3L,3K,BCEFGHKL
3H,3G,3B,3C,3J,3F,3L,3E,BCEFGHJL
3H,3G,3B,3C,3J,3F,3E,3K,BCEFGHJK
3E,3G,3B,3C,3H,3F,3L,3I,BCEFGHIL
3E,3G,3B,3C,3H,3F,3I,3K,BCEFGHIK
3H,3G,3B,3C,3J,3F,3E,3I,BCEFGHIJ
3H,3J,3B,3C,3I,3D,3L,3K,BCDHIJKL
3I,3G,3B,3C,3J,3D,3L,3K,BCDGIJKL
3H,3G,3B,3C,3J,3D,3L,3K,BCDGHJKL
3H,3G,3B,3C,3I,3D,3L,3K,BCDGHIKL
3H,3G,3B,3C,3J,3D,3L,3I,BCDGHIJL
3H,3G,3B,3C,3J,3D,3I,3K,BCDGHIJK
3C,3J,3B,3D,3I,3F,3L,3K,BCDFIJKL
3C,3J,3B,3D,3H,3F,3L,3K,BCDFHJKL
3C,3I,3B,3D,3H,3F,3L,3K,BCDFHIKL
3C,3J,3B,3D,3H,3F,3L,3I,BCDFHIJL
3C,3J,3B,3D,3H,3F,3I,3K,BCDFHIJK
3C,3G,3B,3D,3J,3F,3L,3K,BCDFGJKL
3C,3G,3B,3D,3I,3F,3L,3K,BCDFGIKL
3C,3G,3B,3D,3J,3F,3L,3I,BCDFGIJL
3C,3G,3B,3D,3J,3F,3I,3K,BCDFGIJK
3C,3G,3B,3D,3H,3F,3L,3K,BCDFGHKL
3C,3G,3B,3D,3H,3F,3L,3J,BCDFGHJL
3H,3G,3B,3C,3J,3F,3D,3K,BCDFGHJK
3C,3G,3B,3D,3H,3F,3L,3I,BCDFGHIL
3C,3G,3B,3D,3H,3F,3I,3K,BCDFGHIK
3H,3G,3B,3C,3J,3F,3D,3I,BCDFGHIJ
3E,3J,3B,3C,3I,3D,3L,3K,BCDEIJKL
3E,3J,3B,3C,3H,3D,3L,3K,BCDEHJKL
3E,3I,3B,3C,3H,3D,3L,3K,BCDEHIKL
3E,3J,3B,3C,3H,3D,3L,3I,BCDEHIJL
3E,3J,3B,3C,3H,3D,3I,3K,BCDEHIJK
3E,3G,3B,3C,3J,3D,3L,3K,BCDEGJKL
3E,3G,3B,3C,3I,3D,3L,3K,BCDEGIKL
3E,3G,3B,3C,3J,3D,3L,3I,BCDEGIJL
3E,3G,3B,3C,3J,3D,3I,3K,BCDEGIJK
3E,3G,3B,3C,3H,3D,3L,3K,BCDEGHKL
3H,3G,3B,3C,3J,3D,3L,3E,BCDEGHJL
3H,3G,3B,3C,3J,3D,3E,3K,BCDEGHJK
3E,3G,3B,3C,3H,3D,3L,3I,BCDEGHIL
3E,3G,3B,3C,3H,3D,3I,3K,BCDEGHIK
3H,3G,3B,3C,3J,3D,3E,3I,BCDEGHIJ
3C,3J,3B,3D,3E,3F,3L,3K,BCDEFJKL
3C,3E,3B,3D,3I,3F,3L,3K,BCDEFIKL
3C,3J,3B,3D,3E,3F,3L,3I,BCDEFIJL
3C,3J,3B,3D,3E,3F,3I,3K,BCDEFIJK
3C,3E,3B,3D,3H,3F,3L,3K,BCDEFHKL
3C,3J,3B,3D,3H,3F,3L,3E,BCDEFHJL
3C,3J,3B,3D,3H,3F,3E,3K,BCDEFHJK
3C,3E,3B,3D,3H,3F,3L,3I,BCDEFHIL
3C,3E,3B,3D,3H,3F,3I,3K,BCDEFHIK
3C,3J,3B,3D,3H,3F,3E,3I,BCDEFHIJ
3C,3G,3B,3D,3E,3F,3L,3K,BCDEFGKL
3C,3G,3B,3D,3J,3F,3L,3E,BCDEFGJL
3C,3G,3B,3D,3J,3F,3E,3K,BCDEFGJK
3C,3G,3B,3D,3E,3F,3L,3I,BCDEFGIL
3C,3G,3B,3D,3E,3F,3I,3K,BCDEFGIK
3C,3G,3B,3D,3J,3F,3E,3I,BCDEFGIJ
