1A,1B,1D,1E,1G,1I,1K,1L,qualified_thirds
3E,3G,3B,3C,3A,3F,3J,3K,ABCEFGJK
3E,3G,3B,3C,3A,3F,3L,3I,ABCEFGIL
3E,3G,3B,3C,3A,3F,3I,3K,ABCEFGIK
3E,3G,3B,3C,3A,3F,3I,3J,ABCEFGIJ
3H,3G,3B,3C,3A,3F,3L,3E,ABCEFGHL
3H,3G,3B,3C,3A,3F,3E,3K,ABCEFGHK
3H,3G,3B,3C,3A,3F,3E,3J,ABCEFGHJ
3H,3G,3B,3C,3A,3F,3E,3I,ABCEFGHI
3I,3J,3B,3C,3A,3D,3L,3K,ABCDIJKL
3H,3J,3B,3C,3A,3D,3L,3K,ABCDHJKL
3H,3I,3B,3C,3A,3D,3L,3K,ABCDHIKL
3H,3J,3B,3C,3A,3D,3L,3I,ABCDHIJL
3H,3J,3B,3C,3A,3D,3I,3K,ABCDHIJK
3C,3J,3B,3D,3A,3G,3L,3K,ABCDGJKL
3I,3G,3B,3C,3A,3D,3L,3K,ABCDGIKL
3C,3J,3B,3D,3A,3G,3L,3I,ABCDGIJL
3C,3J,3B,3D,3A,3G,3I,3K,ABCDGIJK
3H,3G,3B,3C,3A,3D,3L,3K,ABCDGHKL
3H,3G,3B,3C,3A,3D,3L,3J,ABCDGHJL
3H,3G,3B,3C,3A,3D,3J,3K,ABCDGHJK
3H,3G,3B,3C,3A,3D,3L,3I,ABCDGHIL
3H,3G,3B,3C,3A,3D,3I,3K,ABCDGHIK
3H,3G,3B,3C,3A,3D,3I,3J,ABCDGHIJ
3C,3J,3B,3D,3A,3F,3L,3K,ABCDFJKL
3C,3I,3B,3D,3A,3F,3L,3K,ABCDFIKL
3C,3J,3B,3D,3A,3F,3L,3I,ABCDFIJL
3C,3J,3B,3D,3A,3F,3I,3K,ABCDFIJK
3H,3F,3B,3C,3A,3D,3L,3K,ABCDFHKL
3C,3J,3B,3D,3A,3F,3L,3H,ABCDFHJL
3H,3J,3B,3C,3A,3F,3D,3K,ABCDFHJK
3H,3F,3B,3C,3A,3D,3L,3I,ABCDFHIL
3H,3F,3B,3C,3A,3D,3I,3K,ABCDFHIK
3H,3J,3B,3C,3A,3F,3D,3I,ABCDFHIJ
3C,3G,3B,3D,3A,3F,3L,3K,ABCDFGKL
3C,3G,3B,3D,3A,3F,3L,3J,ABCDFGJL
3C,3G,3B,3D,3A,3F,3J,3K,ABCDFGJK
3C,3G,3B,3D,3A,3F,3L,3I,ABCDFGIL
3C,3G,3B,3D,3A,3F,3I,3K,ABCDFGIK
3C,3G,3B,3D,3A,3F,3I,3J,ABCDFGIJ
3C,3G,3B,3D,3A,3F,3L,3H,ABCDFGHL
3H,3G,3B,3C,3A,3F,3D,3K,ABCDFGHK
3H,3G,3B,3C,3A,3F,3D,3J,ABCDFGHJ
3H,3G,3B,3C,3A,3F,3D,3I,ABCDFGHI
3E,3J,3B,3C,3A,3D,3L,3K,ABCDEJKL
3E,3I,3B,3C,3A,3D,3L,3K,ABCDEIKL
3E,3J,3B,3C,3A,3D,3L,3I,ABCDEIJL
3E,3J,3B,3C,3A,3D,3I,3K,ABCDEIJK
3H,3E,3B,3C,3A,3D,3L,3K,ABCDEHKL
3H,3J,3B,3C,3A,3D,3L,3E,ABCDEHJL
3H,3J,3B,3C,3A,3D,3E,3K,ABCDEHJK
3H,3E,3B,3C,3A,3D,3L,3I,ABCDEHIL
3H,3E,3B,3C,3A,3D,3I,3K,ABCDEHIK
3H,3J,3B,3C,3A,3D,3E,3I,ABCDEHIJ
3E,3G,3B,3C,3A,3D,3L,3K,ABCDEGKL
3E,3G,3B,3C,3A,3D,3L,3J,ABCDEGJL
3E,3G,3B,3C,3A,3D,3J,3K,ABCDEGJK
3E,3G,3B,3C,3A,3D,3L,3I,ABCDEGIL
3E,3G,3B,3C,3A,3D,3I,3K,ABCDEGIK
3E,3G,3B,3C,3A,3D,3I,3J,ABCDEGIJ
3H,3G,3B,3C,3A,3D,3L,3E,ABCDEGHL
3H,3G,3B,3C,3A,3D,3E,3K,ABCDEGHK
3H,3G,3B,3C,3A,3D,3E,3J,ABCDEGHJ
3H,3G,3B,3C,3A,3D,3E,3I,ABCDEGHI
3C,3E,3B,3D,3A,3F,3L,3K,ABCDEFKL
3C,3J,3B,3D,3A,3F,3L,3E,ABCDEFJL
3C,3J,3B,3D,3A,3F,3E,3K,ABCDEFJK
3C,3E,3B,3D,3A,3F,3L,3I,ABCDEFIL
3C,3E,3B,3D,3A,3F,3I,3K,ABCDEFIK
3C,3J,3B,3D,3A,3F,3E,3I,ABCDEFIJ
3H,3F,3B,3C,3A,3D,3L,3E,ABCDEFHL
3H,3E,3B,3C,3A,3F,3D,3K,ABCDEFHK
3H,3J,3B,3C,3A,3F,3D,3E,ABCDEFHJ
3H,3E,3B,3C,3A,3F,3D,3I,ABCDEFHI
3C,3G,3B,3D,3A,3F,3L,3E,ABCDEFGL
3C,3G,3B,3D,3A,3F,3E,3K,ABCDEFGK
3C,3G,3B,3D,3A,3F,3E,3J,ABCDEFGJ
3C,3G,3B,3D,3A,3F,3E,3I,ABCDEFGI
3H,3G,3B,3C,3A,3F,3D,3E,ABCDEFGH
