team,rate,asi,dwi
Malta,-0.3362518218371792,0.6740062143394437,1.817442758996089
Luxembourg,-0.1430520848490709,0.4102230730629503,1.752305621770198
England,1.0636391007395656,2.666508270300966,0.3488429132238413
Netherlands,0.9846883175761836,2.7019371938873755,0.8820091079136757
Israel,0.220474844987793,1.392642890044384,1.9049580062732203
Peru,0.489356348081683,0.4678152600236083,1.1564411853880476
Czechoslovakia,0.4568639325628112,2.0525703391525885,1.0222195090709516
Cameroon,0.4354813550902501,1.3879564875972077,0.6802734363807117
CIV,0.5489658407595278,1.9018247677677271,0.5384122326965214
Sudan,-0.1355468637415118,0.3912261370592916,1.3134646168526762
Ethiopia,-0.2303450484697225,0.9032660859372532,1.438748454256371
DRC,0.3807865144373931,1.523891561806561,0.4621182134663933
Ghana,0.2049950503250671,1.671198441849257,0.8227091874292939
Egypt,0.5410253649522185,1.343180117735518,0.8964892986422532
Guinea,0.1033899416904219,1.4213423294099137,0.7683456984565372
Romania,0.3625277192491867,1.5424745424787591,1.264157806997777
Spain,1.3242032652450468,3.1330353128893216,0.798604063612851
Germany,0.9502433020190824,1.9829668428434093,0.8810285482682051
Russia,0.7017050092178558,2.466880818557216,0.5728509848878122
Mexico,0.7957629068936959,1.1096198570114149,0.9166113397934452
Bulgaria,-0.0248599378494002,0.5095946774317937,2.46691440569872
Italy,0.936854759221839,2.382089688426787,1.1380689501097574
El Salvador,-0.0763393218233827,0.5702404987006781,1.441272809149749
Sweden,0.4993997656731169,1.6167832715231594,1.603948292747389
Belgium,0.8149179255077467,2.211462201439249,0.9976712941634208
CR,0.4572339233685401,1.9507623791342144,1.162437537643208
Brazil,1.048073227673782,1.760541315370919,0.8589058634587026
Argentina,1.2730800483874272,2.029980848191429,0.4460424008221686
Chile,0.5040283168133746,0.9224526608296546,1.1483952097702264
Burkina Faso,0.3118697563614323,1.6847473244753266,0.7007461952196774
Niger,-0.149019114564905,1.581875130276025,1.3409105085158266
Mali,0.3670107268779124,1.314877844902032,0.6404724331432682
Bahrain,0.0889027454466517,0.8221413892863614,1.595936102485597
Qatar,0.316344322387378,1.2110745852469489,1.5805290737861812
KSA,0.4342691906244132,1.1803986878007175,1.0026697883308433
